Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
C,B,C,D,B,B,A,B,A,C,Bukan Bakat Abstrak
A,C,A,A,B,B,A,A,A,A,Bukan Bakat Abstrak
A,A,A,A,A,A,A,A,A,A,Bukan Bakat Abstrak
B,A,D,C,A,D,C,A,B,A,Bakat Abstrak
B,B,A,A,A,C,C,D,B,B,Bukan Bakat Abstrak
D,B,D,A,A,B,C,D,B,C,Bukan Bakat Abstrak
D,A,D,A,B,D,C,D,B,D,Bukan Bakat Abstrak
B,A,D,A,C,B,C,D,B,B,Bukan Bakat Abstrak
B,B,A,A,D,A,B,D,B,D,Bukan Bakat Abstrak
B,A,D,A,A,A,C,C,B,B,Bakat Abstrak
B,C,D,D,A,A,B,C,A,D,Bukan Bakat Abstrak
B,D,D,A,D,B,C,B,B,A,Bakat Abstrak
B,A,D,B,A,C,C,C,B,B,Bakat Abstrak
B,A,D,C,B,B,C,A,B,D,Bakat Abstrak
B,A,D,A,C,B,D,C,B,A,Bakat Abstrak
C,C,B,B,B,B,A,A,B,B,Bukan Bakat Abstrak
D,A,D,A,C,B,C,C,B,C,Bukan Bakat Abstrak
D,B,C,D,B,C,B,D,C,D,Bukan Bakat Abstrak
C,D,A,C,B,D,D,B,A,B,Bukan Bakat Abstrak
B,D,C,B,C,B,C,A,B,C,Bukan Bakat Abstrak
D,D,B,B,B,D,C,C,B,B,Bukan Bakat Abstrak
A,B,B,A,A,A,A,A,C,A,Bukan Bakat Abstrak
B,A,A,C,A,A,B,C,D,A,Bakat Abstrak
A,A,A,A,A,A,A,A,A,A,Bukan Bakat Abstrak
B,C,D,C,C,B,C,C,B,D,Bakat Abstrak
B,B,D,B,A,B,B,A,B,A,Bukan Bakat Abstrak
C,A,B,B,A,A,A,A,A,A,Bukan Bakat Abstrak
B,A,D,D,B,B,D,D,B,C,Bukan Bakat Abstrak
B,A,D,D,A,D,C,B,A,D,Bukan Bakat Abstrak
B,A,D,A,B,B,B,D,B,D,Bukan Bakat Abstrak
A,B,A,D,B,A,A,B,C,B,Bukan Bakat Abstrak
D,A,D,A,B,C,C,D,B,D,Bukan Bakat Abstrak
B,B,A,A,B,A,A,B,A,A,Bukan Bakat Abstrak
B,C,C,D,C,A,C,A,C,C,Bukan Bakat Abstrak
B,A,D,A,C,B,C,D,B,D,Bukan Bakat Abstrak
B,A,D,A,B,D,C,D,B,D,Bukan Bakat Abstrak
D,A,D,D,B,C,C,C,C,D,Bukan Bakat Abstrak
B,A,D,A,D,A,C,D,B,D,Bakat Abstrak
