Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,ya,Bukan Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,tidak,ya,tidak,ya,ya,Bakat Bahasa
ya,ya,tidak,ya,tidak,ya,ya,ya,ya,tidak,Bakat Bahasa
ya,tidak,ya,tidak,ya,tidak,ya,ya,tidak,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,tidak,tidak,ya,Bakat Bahasa
ya,ya,ya,tidak,ya,tidak,tidak,ya,ya,ya,Bakat Bahasa
ya,ya,tidak,ya,tidak,ya,ya,tidak,tidak,tidak,Bakat Bahasa
ya,ya,ya,ya,ya,tidak,tidak,tidak,tidak,ya,Bakat Bahasa
tidak,tidak,ya,tidak,ya,tidak,tidak,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,tidak,ya,ya,ya,ya,tidak,Bakat Bahasa
tidak,ya,ya,tidak,ya,ya,tidak,tidak,tidak,tidak,Bukan Bakat Bahasa
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,Bukan Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,tidak,tidak,Bakat Bahasa
ya,ya,ya,tidak,tidak,ya,ya,tidak,tidak,ya,Bakat Bahasa
ya,tidak,ya,ya,ya,ya,ya,tidak,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,tidak,ya,tidak,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,ya,Bukan Bakat Bahasa
ya,tidak,tidak,ya,ya,tidak,tidak,ya,tidak,tidak,Bukan Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,tidak,ya,ya,ya,ya,ya,tidak,tidak,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,tidak,tidak,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,tidak,ya,tidak,tidak,ya,ya,ya,ya,Bakat Bahasa
ya,tidak,ya,ya,ya,tidak,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,tidak,ya,tidak,tidak,ya,ya,Bakat Bahasa
tidak,ya,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,Bukan Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,Bakat Bahasa
tidak,tidak,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
tidak,tidak,ya,ya,ya,ya,ya,tidak,ya,ya,Bakat Bahasa
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,ya,Bukan Bakat Bahasa
ya,ya,ya,ya,tidak,ya,ya,ya,tidak,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,tidak,Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,tidak,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,ya,ya,ya,tidak,tidak,ya,ya,Bakat Bahasa
ya,ya,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,Bukan Bakat Bahasa
ya,ya,ya,ya,tidak,ya,ya,ya,ya,tidak,Bakat Bahasa
ya,tidak,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
tidak,tidak,ya,tidak,ya,ya,tidak,tidak,tidak,ya,Bukan Bakat Bahasa
tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,Bukan Bakat Bahasa
ya,ya,ya,ya,ya,ya,ya,ya,ya,ya,Bakat Bahasa
ya,ya,ya,tidak,tidak,tidak,ya,tidak,tidak,tidak,Bukan Bakat Bahasa
