Soal1,Soal2,Soal3,Soal4,Soal5,Soal6,Soal7,Soal8,Soal9,Soal10,Hasil
sulaman,pemisahan,petir,mungil,modern,kaki:sepatu,sarjana:toga,pancawarsa,padat,Turin,Bukan Bakat Verbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,nelayan:sampan,listrik,elastis,Turin,Bakat Verbal
potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,elastis,London,Bukan Bakat Verbal
potongankain,pengikisan,amatiran,raksasa,modern,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,Bakat Verbal
sulaman,pemisahan,amatiran,mungil,cacat,kaki:sepatu,juara:medali,dasawarsa,elastis,Liverpool,Bukan Bakat Verbal
umpatan,penggerusan,palsu,kerdil,benar,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,Bakat Verbal
potongankain,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Liverpool,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,pengikisan,palsu,kerdil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,Bakat Verbal
umpatan,pengikisan,amatiran,mungil,tepat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,asli,raksasa,tepat,kaki:sepatu,sarjana:toga,segilima,padat,Liverpool,Bakat Verbal
umpatan,pemisahan,palsu,raksasa,benar,pintu:rumah,sarjana:toga,listrik,elastis,Birmingham,Bukan Bakat Verbal
umpatan,penggerusan,palsu,kerdil,tepat,anting:giwang,sarjana:toga,pancawarsa,elastis,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,modern,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penggerusan,asli,mungil,cacat,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Birmingham,Bakat Verbal
umpatan,penyimpangan,petir,cebol,modern,anting:giwang,pegawai:dasi,listrik,elastis,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,asli,mungil,tepat,kaki:sepatu,juara:medali,listrik,kental,Birmingham,Bukan Bakat Verbal
potongankain,penggerusan,amatiran,kerdil,cacat,kaki:sepatu,juara:medali,listrik,elastis,Birmingham,Bukan Bakat Verbal
umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,juara:medali,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,pengikisan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,Bakat Verbal
umpatan,penyimpangan,asli,cebol,benar,kaki:sepatu,sarjana:toga,listrik,kental,Turin,Bakat Verbal
potongankain,penyimpangan,petir,mungil,benar,tangan:tilang,juara:medali,segilima,padat,Birmingham,Bukan Bakat Verbal
